epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,753.334,1.01047,0.79407,1.14715,0.8864,0.78554,0.86917,0.62441,0.91243,0.68741,1.06719,0.000848969,0.000848969,0.000848969
43,768.841,1.00346,0.77736,1.14361,0.87489,0.78313,0.87056,0.6263,0.92234,0.66053,1.07623,0.000834822,0.000834822,0.000834822
44,788.875,0.99657,0.77551,1.13883,0.90604,0.76177,0.86831,0.60378,1.03452,0.67857,1.1124,0.000820675,0.000820675,0.000820675
45,804.288,1.00081,0.77471,1.14281,0.79852,0.7774,0.82619,0.58244,1.03084,0.72485,1.13241,0.000806528,0.000806528,0.000806528
46,823.355,0.99534,0.7868,1.13484,0.75933,0.7927,0.74718,0.51367,1.06464,0.8204,1.17181,0.00079238,0.00079238,0.00079238
47,839.34,0.99318,0.77665,1.12904,0.88228,0.7811,0.87181,0.62775,0.90529,0.6377,1.05876,0.000778233,0.000778233,0.000778233
48,858.498,1.01816,0.78053,1.14834,0.84702,0.80143,0.86842,0.63536,0.91669,0.62179,1.06383,0.000764086,0.000764086,0.000764086
49,874.108,1.00532,0.76334,1.13774,0.81494,0.80262,0.8516,0.5885,0.9946,0.68778,1.11292,0.000749939,0.000749939,0.000749939
50,893.204,0.99566,0.74915,1.12892,0.81937,0.78845,0.83989,0.5992,0.98623,0.66935,1.10963,0.000735792,0.000735792,0.000735792
51,908.679,0.97902,0.75092,1.12639,0.88498,0.79537,0.88078,0.64046,0.91972,0.63287,1.06463,0.000721645,0.000721645,0.000721645
52,928.259,0.97059,0.73729,1.11655,0.8544,0.79864,0.87359,0.63996,0.91216,0.63124,1.05847,0.000707498,0.000707498,0.000707498
53,943.809,0.97233,0.74095,1.11849,0.89971,0.77885,0.88769,0.65011,0.9044,0.63447,1.0571,0.000693351,0.000693351,0.000693351
54,963.59,0.96994,0.74593,1.11641,0.91073,0.77207,0.88136,0.641,0.88812,0.63947,1.05425,0.000679204,0.000679204,0.000679204
55,979.685,0.96576,0.73385,1.11069,0.83172,0.78907,0.86299,0.62986,0.90781,0.68887,1.06483,0.000665057,0.000665057,0.000665057
56,998.883,0.96183,0.74614,1.11252,0.88647,0.7923,0.88588,0.6536,0.88141,0.59209,1.0492,0.000650909,0.000650909,0.000650909
57,1014.35,0.94743,0.70885,1.10195,0.86163,0.79103,0.87735,0.64565,0.89937,0.61678,1.0607,0.000636762,0.000636762,0.000636762
58,1033.52,0.95933,0.71499,1.11056,0.87375,0.78803,0.87741,0.63445,0.93868,0.62791,1.06966,0.000622615,0.000622615,0.000622615
59,1049.28,0.96168,0.7214,1.11033,0.87616,0.78673,0.88767,0.65975,0.88154,0.5985,1.04939,0.000608468,0.000608468,0.000608468
60,1069.18,0.94879,0.71194,1.11023,0.83359,0.7641,0.82113,0.57058,1.09852,0.76038,1.15978,0.000594321,0.000594321,0.000594321
61,1085.83,0.95313,0.70302,1.10301,0.90152,0.8019,0.89463,0.66493,0.86472,0.56052,1.04231,0.000580174,0.000580174,0.000580174
